source,target,weight,alpha_out,alpha_in
US,AE,14479,0.786,0.0001
US,AF,752,0.9876,0.0673
US,AM,11152,0.8308,0.0006
US,AR,65521,0.3353,0.0002
US,AT,48219,0.4478,0.0002
US,AU,208808,0.0298,0.0
US,BA,6230,0.9016,0.0085
US,BD,15535,0.7723,0.0
US,BE,43990,0.4806,0.0016
US,BG,28491,0.6224,0.0
US,BO,13641,0.7971,0.0002
US,BR,142961,0.0911,0.0
US,BS,1454,0.9761,0.0369
US,BY,14780,0.7821,0.0447
US,CA,768400,0.0,-0.0
US,CH,162399,0.0656,0.0
US,CL,18307,0.7375,0.0006
US,CN,682672,0.0,0.0
US,CO,44625,0.4755,0.0002
US,CR,15298,0.7754,0.0001
US,CU,11085,0.8317,0.0
US,CY,5296,0.9157,0.037
US,CZ,79357,0.2659,0.0001
US,DE,858231,0.0,0.0
US,DK,36449,0.545,0.0013
US,DO,11208,0.83,0.0
US,EC,6082,0.9039,0.0082
US,EE,8594,0.8669,0.0146
US,EG,11325,0.8284,0.0013
US,ES,133508,0.1069,0.0
US,ET,12800,0.8083,0.0
US,FI,42364,0.4938,0.0024
US,FR,343265,0.003,0.0
US,GB,771209,0.0,0.0
US,GH,3681,0.9407,0.0156
US,GR,26585,0.6425,0.0001
US,GT,3488,0.9437,0.0033
US,HK,435336,0.0006,0.0
US,HN,2230,0.9636,0.0588
US,HR,12147,0.8171,0.0004
US,HU,20450,0.7116,0.0009
US,ID,21385,0.7006,0.001
US,IE,42363,0.4938,0.0001
US,IL,229721,0.0209,0.0
US,IN,864237,0.0,0.0
US,IR,30312,0.6038,0.0008
US,IS,5145,0.918,0.0104
US,IT,103364,0.1776,0.0
US,JM,5969,0.9056,0.0554
US,JO,4518,0.9277,0.0028
US,JP,196898,0.0365,0.0
US,KE,18723,0.7324,0.0001
US,KR,74202,0.2899,0.0
US,LK,8709,0.8652,0.0028
US,LT,5700,0.9096,0.0274
US,MA,4045,0.935,0.0213
US,MD,2755,0.9553,0.0687
US,MK,2211,0.9639,0.0052
US,MX,93061,0.2112,0.0
US,MY,12680,0.8099,0.0047
US,NG,26237,0.6462,0.0003
US,NL,248348,0.0152,0.0
US,NO,62176,0.3546,0.0001
US,NP,8121,0.8737,0.0022
US,NZ,43488,0.4846,0.0
US,PA,1645,0.973,0.0046
US,PE,13075,0.8046,0.0047
US,PH,27129,0.6367,0.0
US,PK,36178,0.5475,0.0
US,PL,128313,0.1167,0.0
US,PR,9964,0.8473,0.0
US,PS,1602,0.9737,0.0887
US,PT,37156,0.5386,0.0001
US,RO,27263,0.6353,0.0018
US,RS,18468,0.7355,0.0004
US,RU,186014,0.0439,0.0003
US,RW,4855,0.9225,0.0281
US,SA,4678,0.9252,0.011
US,SE,91070,0.2184,0.0
US,SG,116977,0.1413,0.0
US,SI,14581,0.7847,0.0004
US,SV,4022,0.9353,0.0231
US,TH,17057,0.753,0.0009
US,TR,42381,0.4937,0.0
US,TW,64387,0.3417,0.0
US,TZ,1207,0.9801,0.0782
US,UA,117957,0.1389,0.0
US,UG,8165,0.8731,0.0004
US,UY,8411,0.8695,0.0179
US,VE,16047,0.7658,0.0014
US,VN,34465,0.5634,0.0003
US,ZA,25389,0.6554,0.0001
UY,AR,38945,0.0003,0.0066
UY,US,96348,0.0,0.6654
UZ,RU,34395,0.0,0.2373
UZ,US,17083,0.0014,0.9304
VE,AR,24497,0.0047,0.0439
VE,CL,7263,0.223,0.0641
VE,CO,26484,0.003,0.0072
VE,MX,24911,0.0043,0.0071
VE,US,40441,0.0001,0.8429
VN,DE,24705,0.0408,0.627
VN,FR,27468,0.0282,0.2633
VN,GB,25871,0.0349,0.4925
VN,JP,27475,0.0282,0.1147
VN,RU,21667,0.061,0.405
VN,SG,25044,0.039,0.0623
VN,TH,15498,0.1372,0.0017
VN,US,155945,0.0,0.517
WS,DK,2474,0.0607,0.6501
XK,AL,3751,0.0091,0.0438
XK,RS,2265,0.0768,0.4106
YE,US,3547,0.0044,0.9851
ZA,DE,19110,0.0527,0.697
ZA,GB,33687,0.005,0.3973
ZA,NG,10878,0.1908,0.0372
ZA,US,204316,-0.0,0.4211
ZM,NG,3174,0.0175,0.389
ZM,US,2806,0.0315,0.9882
ZW,GB,2960,0.0642,0.9223
ZW,US,3094,0.0552,0.987
