source,target,weight,alpha_out,alpha_in
DE,IR,37714,0.5765,0.0001
DE,IT,76470,0.3264,0.0002
DE,JO,3819,0.9459,0.0075
DE,JP,36658,0.5855,0.0547
DE,LT,6876,0.9046,0.0125
DE,LU,11775,0.8423,0.0375
DE,LV,8718,0.8807,0.0078
DE,MA,6491,0.9097,0.0016
DE,MY,12227,0.8367,0.0058
DE,NG,15708,0.7953,0.0082
DE,NL,200283,0.052,0.0
DE,NO,42718,0.5358,0.0022
DE,NZ,14864,0.8051,0.0359
DE,PK,7682,0.8941,0.0452
DE,PL,86638,0.281,0.0002
DE,PT,23298,0.7118,0.0033
DE,RO,40230,0.5556,0.0001
DE,RS,8161,0.8879,0.0378
DE,RU,226156,0.0353,0.0001
DE,SE,73897,0.339,0.0002
DE,SI,7674,0.8942,0.0178
DE,TH,7492,0.8966,0.0504
DE,TR,35697,0.5938,0.0001
DE,UA,113957,0.1877,0.0001
DE,US,4110897,0.0,0.0
DE,ZA,12723,0.8307,0.0139
DK,DE,77708,0.002,0.229
DK,GB,37860,0.0524,0.3542
DK,SE,32062,0.0832,0.0259
DK,US,355628,0.0,0.2213
DK,UY,5266,0.6699,0.0874
DO,HT,516,0.8528,0.0815
DO,US,55175,0.0,0.792
DZ,DE,6058,0.0615,0.892
DZ,FR,6281,0.0551,0.738
DZ,US,22538,0.0,0.9092
EC,RW,8253,0.0795,0.0015
EC,US,51783,0.0,0.8035
EE,DE,21046,0.016,0.672
EE,GB,14531,0.0602,0.6721
EE,RU,23270,0.0101,0.3787
EE,US,82146,0.0,0.7066
EG,BE,16417,0.0186,0.0963
EG,DE,16874,0.0166,0.7271
EG,GB,14489,0.0302,0.6729
EG,IN,21039,0.0058,0.4134
EG,IQ,3215,0.4682,0.0338
EG,JO,3039,0.4882,0.0219
EG,SA,6327,0.2225,0.0019
EG,US,96616,0.0,0.6647
ES,AR,75070,0.108,0.0
ES,BE,26621,0.457,0.0218
ES,BR,21208,0.5361,0.0418
ES,CA,54793,0.1981,0.0524
ES,CD,1074,0.969,0.085
ES,CH,40180,0.3059,0.0447
ES,CO,38389,0.3226,0.0007
ES,CZ,47525,0.2459,0.0034
ES,DE,395013,0.0,0.0005
ES,FI,26388,0.4601,0.0249
ES,FR,110745,0.0368,0.0042
ES,GB,235016,0.0008,0.0014
ES,GR,8991,0.7682,0.0539
ES,IL,36663,0.3395,0.0489
ES,IN,61436,0.1624,0.0745
ES,IT,48984,0.2355,0.0042
ES,NL,76685,0.1029,0.0094
ES,NO,36326,0.3429,0.0057
ES,PL,29648,0.4179,0.0592
ES,PT,17516,0.5978,0.0141
ES,RO,17223,0.603,0.0199
ES,SE,28407,0.4335,0.0396
ES,US,1461074,0.0,0.0019
ET,NG,4861,0.0106,0.2342
ET,US,10320,0.0,0.9573
FI,CY,5480,0.599,0.0328
FI,DE,69643,0.0011,0.2671
FI,GB,45810,0.0121,0.2846
FI,NO,20847,0.1393,0.0539
FI,RU,56268,0.0042,0.094
FI,US,325059,-0.0,0.2521
FR,AT,18482,0.6335,0.0461
FR,AU,27417,0.5077,0.0785
FR,BE,59353,0.2293,0.0002
FR,BR,23470,0.5599,0.0296
FR,CA,109437,0.0651,0.0026
FR,CH,229698,0.003,0.0
FR,CM,2630,0.9372,0.0571
FR,CZ,31284,0.4613,0.0249
FR,DE,422367,0.0,0.0003
FR,DK,21247,0.5916,0.0223
FR,DZ,2021,0.9514,0.0008
FR,ES,93047,0.0985,0.0003
FR,GB,310326,0.0004,0.0002
FR,GR,8248,0.8159,0.0691
FR,IE,13485,0.7169,0.0535
FR,IL,32268,0.4501,0.0706
FR,IN,72002,0.1671,0.0474
FR,IR,18776,0.6289,0.0148
FR,IT,50703,0.2845,0.0034
FR,LU,22406,0.5749,0.0012
FR,MA,13355,0.7192,0.0
FR,NG,16768,0.661,0.0059
FR,NL,82393,0.1287,0.0066
FR,PL,48006,0.3043,0.0098
FR,PT,13938,0.7089,0.0345
