source,destination,weight,alpha_out,alpha_in
CM,CD,0.020975694144105182,0.7432,0.0032
CM,FR,0.27969033820603756,0.0101,0.0305
CM,NG,0.16715682034426088,0.0772,0.0322
CM,US,0.22960816538361734,0.0259,0.6115
CM,ZM,0.004973618199117723,0.9326,0.0532
CN,HK,0.32821581683108286,0.0,0.0
CN,JP,0.06831850847859536,0.0386,0.0133
CN,TW,0.020340275550980703,0.3886,0.0127
CN,US,0.40507893864638883,0.0,0.4196
CO,AR,0.22659995012422762,0.0,0.0
CO,BO,0.00601280144824465,0.7486,0.0246
CO,EC,0.010686346045497787,0.5971,0.0133
CO,MX,0.06446905393048795,0.0408,0.0248
CO,PE,0.021368073963923193,0.3546,0.0349
CO,US,0.3983665684544976,0.0,0.4257
CR,GB,0.09599620193068524,0.0536,0.3225
CR,US,0.6305428074062351,0.0,0.2583
CU,ES,0.15073233161112953,0.2706,0.0071
CU,MX,0.08081717779779116,0.5096,0.0093
CU,PL,0.04119069061951936,0.7143,0.032
CU,US,0.533488173673982,0.0022,0.3183
CV,DE,1.0,,0.0
CW,NL,0.13444108761329304,0.7492,0.038
CW,UA,0.045921450151057405,0.9103,0.0645
CW,US,0.8196374622356496,0.0325,0.1717
CY,AM,0.010347529498525073,0.7169,0.0493
CY,BE,0.039377458210422815,0.2765,0.0342
CY,DE,0.08969395280235988,0.0494,0.3863
CY,ES,0.07409968043264503,0.0851,0.0907
CY,GB,0.07880868977384464,0.0723,0.3953
CY,GR,0.007666543756145526,0.7817,0.0228
CY,PL,0.06237708947885939,0.1273,0.0051
CY,RU,0.2136492133726647,0.0005,0.0621
CY,UA,0.05325098328416913,0.1736,0.0413
CY,US,0.16042127581120944,0.0037,0.7093
CZ,DE,0.1227298076632096,0.0007,0.2716
CZ,GB,0.04572159800789406,0.0727,0.5841
CZ,SK,0.022102519097499926,0.286,0.002
CZ,US,0.5099972764176678,-0.0,0.3348
DE,CH,0.03087301297577563,0.0349,0.1879
DE,FR,0.03286892526998841,0.028,0.6669
DE,GB,0.06327411423145282,0.0009,0.4749
DE,IN,0.029083523812916724,0.0425,0.636
DE,NL,0.02706781952812669,0.0531,0.5219
DE,RU,0.030512065710581574,0.0363,0.6758
DE,US,0.5498940688682105,0.0,0.3073
DJ,SN,0.9056486654252017,0.0944,0.0
DK,DE,0.10887668334004279,0.0028,0.3149
DK,GB,0.05298771167552777,0.0622,0.5361
DK,GR,0.005648279680845977,0.7491,0.0636
DK,IS,0.004275541036402253,0.8037,0.0002
DK,SE,0.04599291420074992,0.0906,0.0098
DK,US,0.5009724850733952,0.0,0.3414
DK,UY,0.005893521753280306,0.7397,0.0829
DM,JM,1.0,,0.0
DO,AR,0.0565977388716608,0.2775,0.0693
DO,CU,0.003532143900098733,0.9251,0.0219
DO,HT,0.00717553642697223,0.8535,0.0004
DO,US,0.6834976568257985,0.0,0.2304
DZ,DE,0.13735974094434822,0.07,0.2323
DZ,FR,0.1319878504907498,0.0782,0.195
DZ,HR,0.009614177774430806,0.8404,0.0102
DZ,HU,0.03007254562341542,0.5772,0.045
DZ,OM,0.0028114566859954314,0.9506,0.0193
DZ,US,0.5248136154830936,0.0,0.3243
EC,AR,0.059282371294851796,0.1331,0.0609
EC,CO,0.044126068840221966,0.2255,0.0324
EC,CU,0.0033669701218428483,0.8947,0.0273
EC,MG,0.0012144789589051918,0.9607,0.084
EC,MX,0.04591322893422066,0.212,0.0737
EC,RW,0.08148857599873616,0.0605,0.003
EC,US,0.4693319378344754,0.0,0.3654
EE,DE,0.09782101207242429,0.018,0.3542
EE,FI,0.05603698174000934,0.1055,0.0544
EE,GB,0.07182912876397461,0.0546,0.4292
EE,LV,0.011810761029619254,0.6292,0.0011
EE,RU,0.10684582903641224,0.0122,0.2518
EE,US,0.38145371895314173,0.0,0.4414
EG,BE,0.0754177934955967,0.0134,0.0014
EG,DE,0.06635231028823706,0.0229,0.4951
EG,GB,0.0614751635346601,0.0305,0.4851
EG,IN,0.08821857014076694,0.0062,0.2522
EG,US,0.3893950951159189,0.0,0.434
ER,ET,0.7553956834532374,0.2446,-0.0
ES,DE,0.12790028178521642,0.0,0.257
ES,FR,0.034987740144962684,0.0405,0.6497
ES,GB,0.07560657565018358,0.0008,0.4105
ES,US,0.4626957216013115,-0.0,0.3707
ET,CH,0.05193603805999736,0.3263,0.059
ET,ER,0.009867406722170829,0.812,0.004
ET,GH,0.03515263644773358,0.4717,0.0017
ET,HR,0.006431434738557773,0.8733,0.0491
ET,NG,0.16796616889123828,0.021,0.0316
ET,PK,0.020219373595876833,0.6512,0.0124
ET,US,0.3625390951940443,0.0001,0.4597
ET,UZ,0.004889652438218581,0.9022,0.0261
FI,BD,0.0036561849815170758,0.7939,0.0363
FI,CY,0.007438230984497341,0.6248,0.0291
FI,DE,0.09870767146233415,0.0014,0.3509
FI,GB,0.06271763468294676,0.0169,0.478
FI,RU,0.07713571391945205,0.0064,0.3702
FI,SE,0.026031477686083965,0.1898,0.0756
FI,US,0.46497567463838263,0.0,0.3689
FJ,IN,0.3357041251778094,0.6643,0.0049
FM,AU,0.36080178173719374,0.6392,0.0005
FO,DK,0.23923923923923923,0.7608,0.0001
FR,CA,0.026035585295546292,0.0661,0.4231
FR,CH,0.05529779527672261,0.0029,0.049
FR,DE,0.09775199148056067,0.0,0.3545
FR,GB,0.07265348289591106,0.0004,0.4251
FR,TN,0.007611630225935613,0.4552,0.0003
FR,US,0.4988495778790334,-0.0,0.3429
GA,IN,1.0,,0.0
GB,DE,0.06983812421697501,0.0004,0.4771
GB,FR,0.026965981818709538,0.0508,0.7173
GB,IN,0.029923336486129444,0.0365,0.6277
GB,US,0.6404249003667557,0.0,0.2528
GD,BR,0.09839650145772595,0.8129,0.0008
GD,TT,0.8039358600583091,0.0384,0.0056
GE,AM,0.012161650765829465,0.5766,0.0283
GE,BY,0.0726591909494692,0.0336,0.0
GE,RU,0.28898360786344535,0.0,0.0229
GE,SI,0.01581054434640588,0.4881,0.007
GE,US,0.3156810803274444,0.0,0.5084
GF,FR,0.642681929681112,0.3573,0.0003
GF,IT,0.35731807031888796,0.6427,0.0
GG,GB,1.0,,0.0
GH,CM,0.005261128874980157,0.8999,0.002
GH,NG,0.3162800190489149,0.0005,0.0013
GH,US,0.37698709662788854,0.0001,0.4457
GI,CH,0.0488803932277444,0.7403,0.0699
GI,FI,0.06444565811032223,0.6705,0.0347
GI,GB,0.6436373566357182,0.002,0.0004
GI,IL,0.09803386127799017,0.5384,0.0052
GL,NO,0.5865384615384616,0.4135,-0.0
GM,IN,0.20836891545687447,0.6267,0.0377
GM,MA,0.6481639624252775,0.1238,0.0
GM,RW,0.14346712211784798,0.7336,0.0
GN,FR,0.4892929292929293,0.1332,0.0021
GN,JP,0.2412121212121212,0.4369,0.0
GP,BE,0.032094142818935543,0.8777,0.0645
GP,CA,0.169296603369885,0.4762,0.0033
GP,FR,0.36854774003744317,0.159,0.0098
GP,NO,0.11580636533832575,0.6112,0.001
GR,DE,0.0813795725080324,0.0201,0.422
GR,GB,0.09674073265272698,0.0093,0.3197
GR,MT,0.0006146890462007566,0.9721,0.0443
GR,NL,0.05909709458325498,0.0607,0.2405
GR,US,0.45755511475880534,0.0,0.3748
GT,MX,0.05646645955586239,0.3946,0.0398
GT,SV,0.061327810378552526,0.3633,0.0265
GT,US,0.6865435507996779,0.0,0.2289
GT,VN,0.017287999079507538,0.7565,0.0188
GY,RU,0.21920821114369501,0.7808,0.0577
HK,CN,0.46920244191266136,-0.0,0.0
HK,JP,0.04140537634857834,0.1019,0.0754
HK,TW,0.018814295522309076,0.3586,0.018
HK,US,0.30146229736799474,0.0,0.5242
HN,CL,0.07496699385798748,0.3925,0.0
HN,GT,0.021181332874117446,0.7734,0.0291
HN,MX,0.1206589748005281,0.2137,0.0008
HN,PE,0.02422363813787957,0.7451,0.0215
HN,PY,0.010332357499569485,0.8828,0.0
HN,US,0.617300958613168,0.0,0.2657
HR,DE,0.10726264829318265,0.012,0.3203
HR,GB,0.07803360761376028,0.0421,0.3989
HR,GR,0.008129275304847824,0.7274,0.018
HR,SI,0.008575394071577277,0.7147,0.0724
HR,US,0.4028080697928026,0.0,0.4216
HT,ES,0.7686635944700461,0.0535,0.0
HU,AT,0.017246695991421417,0.4118,0.0767
HU,DE,0.10395963767813197,0.0037,0.3318
HU,GB,0.07794933621408265,0.0159,0.3993
HU,US,0.5153815699685863,0.0,0.331
ID,DE,0.04665920433600687,0.0542,0.6102
ID,IN,0.144797268674763,0.0001,0.1034
ID,NL,0.05069335151224411,0.0419,0.2949
ID,PH,0.004926260390453827,0.7399,0.0838
ID,RU,0.045085381967530445,0.06,0.5602
ID,SG,0.08645643092995789,0.004,0.0083
ID,US,0.32190979557141536,0.0,0.5017
IE,GB,0.12496800938917381,0.0014,0.2288
IE,US,0.5460681707233204,-0.0,0.3098
IL,DE,0.06019653268369884,0.0188,0.5286
IL,GB,0.05582568362169574,0.0253,0.5185
IL,IN,0.04050967111009364,0.0709,0.5322
IL,US,0.6315646718939351,-0.0,0.2577
IM,CH,0.047416685305300826,0.7472,0.0758
IM,GB,0.537687318273317,0.0098,0.0016
IM,SV,0.10914784164616417,0.4998,0.0007
IN,CA,0.029259290649067314,0.0442,0.3801
IN,DE,0.05198607872138578,0.0037,0.5767
IN,GB,0.05205716144800982,0.0036,0.5421
IN,LK,0.00294364506754226,0.7338,0.0566
IN,US,0.6291808262546785,0.0,0.259
IQ,EG,0.01977787016689434,0.7411,0.0819
IQ,LB,0.053275524143255926,0.4399,0.0007
IQ,PS,0.007364732434519214,0.895,0.0791
IQ,TR,0.11183702559838452,0.1688,0.0
IQ,US,0.45025835956524324,0.0001,0.3807
IR,DE,0.23064285714285715,0.0001,0.0854
IR,FR,0.07162698412698412,0.0799,0.4129
IR,GB,0.0879920634920635,0.0436,0.3546
IR,NL,0.1287936507936508,0.0092,0.0436
IR,US,0.27825396825396825,0.0,0.5509
IS,GB,0.13319205465587045,0.0573,0.2075
IS,US,0.520021508097166,0.0,0.3277
IT,CH,0.03391952982879337,0.0701,0.159
IT,DE,0.1266516204230618,0.0,0.2605
IT,FR,0.03805485621773856,0.0504,0.6256
IT,GB,0.07886742820865095,0.0018,0.395
IT,NL,0.033534123146789434,0.0723,0.4465
IT,US,0.4407331208399621,0.0,0.3886
JE,PT,0.05058897770298696,0.6601,0.009
JE,SE,0.06089608750525873,0.6049,0.0021
JE,US,0.5929743374000841,0.0008,0.28
JM,PK,0.016315066037172057,0.906,0.0295
JM,US,0.8823880953803861,0.0,0.15
JO,CA,0.1522875604766698,0.0367,0.0059
JO,GB,0.1430658830405559,0.0456,0.1845
JO,KW,0.03217845894080592,0.5199,0.0015
JO,PS,0.009513913692892164,0.826,0.0328
JO,US,0.4070526349969153,0.0,0.4178
JP,CN,0.18580734762356055,0.0,0.0021
JP,HK,0.12467981639969437,0.0002,0.0052
JP,TW,0.0127717465605897,0.4337,0.0688
JP,US,0.4513050077359969,0.0,0.3799
KE,GB,0.06298316786076996,0.0651,0.4765
KE,IN,0.07433223634920723,0.039,0.3136
KE,LR,0.0009600923464545954,0.9605,0.0567
KE,NG,0.12307495934869112,0.004,0.0811
KE,SO,0.0008213506778917926,0.9661,0.0191
KE,TZ,0.012336909168604426,0.5937,0.0474
KE,US,0.4947638894284398,0.0,0.346
KG,CY,0.009060200581319228,0.8645,0.0128
KG,KZ,0.01835607111995601,0.7435,0.001
KG,LT,0.050852339678965144,0.4339,0.0
KG,PL,0.06797768991070727,0.3242,0.0031
KG,RU,0.4585613658383304,0.0001,0.0023
KG,US,0.19809369190080914,0.0292,0.6543
KH,CH,0.16841825196221896,0.0362,0.0001
KH,IL,0.06071571105494213,0.3239,0.0402
KH,TH,0.059465212185712386,0.3317,0.0
KH,US,0.4354396700811494,0.0,0.3931
KN,DE,1.0,,0.0
KR,CN,0.09421477346118398,0.0129,0.0475
KR,HK,0.061577922779372594,0.061,0.0779
KR,JP,0.06328101477621922,0.0563,0.0185
KR,US,0.49151786637737854,0.0,0.3484
KW,BE,0.02869401984446232,0.7695,0.0867
KW,ES,0.10977026906230446,0.3512,0.028
KW,IN,0.2982926611245195,0.0412,0.0089
KW,PK,0.04031465093411996,0.6905,0.0001
KW,US,0.44095825511754716,0.0053,0.3884
KY,US,0.9360030657214026,0.0041,0.1335
KZ,BY,0.019195277883769284,0.4977,0.0701
KZ,CY,0.011369211241502293,0.6626,0.0038
KZ,EE,0.007740408201406356,0.756,0.0551
KZ,GE,0.010053186104643466,0.6951,0.0396
KZ,KG,0.004571045889562909,0.8479,0.0011
KZ,MD,0.014927930102712258,0.5819,0.0227
KZ,RU,0.5765202426470015,0.0,0.0005
KZ,US,0.13839289190683476,0.0047,0.7436
KZ,UZ,0.005225164892498657,0.8281,0.0197
LA,KR,0.03119406801329583,0.8809,0.0143
LA,US,0.8540015341344924,0.0005,0.1594
LB,DE,0.12903418777854217,0.0724,0.2539
LB,DK,0.06254299644064248,0.2931,0.0896
LB,JO,0.023748990518350135,0.6334,0.049
LB,TR,0.03981096521401011,0.4621,0.0284
LB,US,0.39338378249035383,0.0001,0.4303
LC,RO,0.19717444717444718,0.8028,0.0
LI,CH,0.0828937452901281,0.8411,0.0105
LI,DE,0.4506405425772419,0.3018,0.0078
LK,EE,0.007050515405205308,0.8088,0.0719
LK,GE,0.010000569508514152,0.7397,0.0403
LK,IN,0.157412153311692,0.0059,0.0847
LK,NO,0.07179224329403724,0.107,0.0147
LK,SG,0.04613018964633521,0.2425,0.0811
LK,US,0.36571558744803234,0.0,0.4566
LR,KE,1.0,,0.0
LS,BW,0.774294670846395,0.2257,0.0
LS,ZA,0.22570532915360503,0.7743,0.0001
LT,BY,0.033748982224377215,0.2621,0.0085
LT,DE,0.10438947185450154,0.0136,0.3303
LT,GB,0.08244211258199384,0.0349,0.3786
LT,IL,0.05817559717126991,0.0966,0.0461
LT,LV,0.009134822106543955,0.6991,0.0058
LT,RU,0.06789135188048341,0.0644,0.4173
LT,US,0.4097404557805081,0.0,0.4154
LU,BE,0.11270838622323771,0.0277,0.0
LU,CH,0.05377845476855378,0.1905,0.0533
LU,DE,0.15871202504865872,0.0056,0.1849
LU,FR,0.12308538546162308,0.0194,0.2179
LU,GB,0.11702420242024203,0.0239,0.2514
LU,GR,0.0049716510112549715,0.8611,0.0893
LU,MD,0.01227045781501227,0.6905,0.0469
LU,US,0.2846111534230346,0.0,0.5435
LV,BY,0.027114253095635373,0.3717,0.0225
LV,CZ,0.05258189163080706,0.1431,0.0024
LV,DE,0.06993354995462663,0.0735,0.4766
LV,EE,0.013033869031937003,0.6236,0.0069
LV,FI,0.057075319809139075,0.1206,0.0515
LV,GB,0.08279909838704956,0.0445,0.3771
LV,LT,0.01594654723222388,0.5606,0.0036
LV,RU,0.11080618248880302,0.0146,0.2391
LV,TR,0.05950499107168994,0.1099,0.0046
LV,UA,0.050547407862767485,0.1545,0.0487
LV,US,0.2363440765785545,0.0001,0.6028
MA,AM,0.008703804588818082,0.7693,0.0809
MA,DE,0.10890524635441082,0.0315,0.3148
MA,FR,0.2335204165663681,0.0003,0.0546
MA,US,0.3796227084415502,0.0,0.4432
MC,FR,0.24391333482242572,0.3268,0.0479
MC,GB,0.35537190082644626,0.1727,0.0144
MC,RU,0.201250837614474,0.407,0.0732
MD,RO,0.0818706376183967,0.1402,0.0003
MD,UA,0.060665077963395306,0.2371,0.0262
MD,US,0.310825359575163,0.0002,0.5137
ME,EE,0.017317777145412414,0.6691,0.0012
ME,RS,0.05309158908898736,0.2852,0.0127
ME,RU,0.33033863165169314,0.0001,0.0132
ME,UA,0.046424651408593844,0.3351,0.0625
ME,US,0.3193829017439733,0.0001,0.5044
MG,FR,0.4637595757218621,0.0128,0.0029
MG,MU,0.011903358868591632,0.9196,0.0
MG,NL,0.2017678255745433,0.2065,0.0071
MK,GB,0.19062075727862424,0.0095,0.1047
MK,IL,0.0510257957459647,0.3159,0.0677
MK,SE,0.03450746718962136,0.4618,0.032
MK,SI,0.051138934982651985,0.3151,0.0
MK,US,0.39063207120229293,0.0,0.4328
ML,FR,0.31993503857084854,0.2139,0.0183
ML,GN,0.02253349573690621,0.9129,0.0045
ML,US,0.4598051157125457,0.0852,0.373
MM,JP,0.10523825296928974,0.4108,0.0011
MM,SG,0.43827189703307623,0.0099,0.0
MM,TW,0.02858089244309847,0.793,0.0018
MM,US,0.32409028533573087,0.0436,0.4993
MN,KR,0.18001380738695202,0.2493,0.0
MN,SE,0.03779772178115292,0.7636,0.0229
MN,US,0.6366931308249913,0.0008,0.2549
MO,CN,0.28129538193435955,0.099,0.0001
MO,HK,0.30729015393552134,0.0765,0.0
MO,SG,0.0938135347081034,0.5018,0.0055
MQ,US,0.7339816933638444,0.0708,0.2066
MR,FR,0.47465437788018433,0.5253,0.0025
MR,KE,0.5253456221198156,0.4747,0.0001
MT,DE,0.09833626648765353,0.0551,0.3523
MT,EE,0.009380046083785402,0.7681,0.0292
MT,MY,0.041366547526171596,0.3064,0.0065
MT,PF,0.00215904348930457,0.9413,0.0368
MT,SK,0.043815882577063335,0.2852,0.0
MT,US,0.5217809387303373,0.0,0.3264
MU,FR,0.2535090876372143,0.0401,0.0424
MU,RE,0.005353608061903905,0.9427,0.0181
MU,US,0.3978315637934137,0.0038,0.4262
MV,AR,0.08402555910543132,0.916,0.0184
MV,US,0.9159744408945687,0.084,0.1395
MW,CA,0.3067935958459541,0.111,0.0
MW,GB,0.22933794893985288,0.2095,0.0659
MW,KE,0.17135439203807876,0.3238,0.0549
MW,NG,0.1293812202509736,0.4355,0.0711
MW,TZ,0.049762007788836,0.7362,0.0
MX,AR,0.051526601776822285,0.0397,0.0884
MX,CO,0.04278405122325705,0.0694,0.0361
MX,IN,0.04093598181798383,0.0781,0.5287
MX,PE,0.016890856567724433,0.3538,0.073
MX,US,0.581357833216403,0.0,0.2871
MY,AM,0.008433734939759036,0.7126,0.0877
MY,ID,0.0186144578313253,0.4716,0.0019
MY,IE,0.022332185886402754,0.4052,0.0013
MY,IN,0.07805077452667813,0.0388,0.2958
MY,MV,0.0007013769363166954,0.9723,0.0627
MY,SG,0.12021514629948366,0.006,0.0012
MY,US,0.4151376936316695,0.0,0.4106
MZ,UG,0.15684077860243664,0.5054,0.0
MZ,ZA,0.7951267329505671,0.0018,-0.0
NC,CH,0.13320388349514564,0.6513,0.0006
NC,UA,0.04388349514563107,0.874,0.073
