source,destination,weight,alpha_out,alpha_in
AE,IN,10.473647554347222,0.2095,0.2805
AE,US,11.526650839588704,0.1786,0.3049
AM,RU,10.630359602497695,0.2025,0.2935
AM,US,10.70245764183374,0.2003,0.332
AR,CO,11.072107752919068,0.2275,0.2013
AR,US,13.084964683365651,0.1732,0.2595
AT,DE,12.369703956102649,0.2038,0.2492
AT,US,12.96774258709245,0.1885,0.2627
AU,US,14.037008756427555,0.175,0.2352
BD,IN,10.766546269813347,0.2022,0.2706
BD,US,10.790678976585008,0.2015,0.329
BE,US,12.96499352158567,0.1959,0.2628
BG,US,12.243864453669376,0.1978,0.2831
BR,US,13.549892605991777,0.177,0.2473
BW,LS,4.976733742420574,0.0,0.0
BY,RU,11.607125938369004,0.2004,0.262
BY,US,11.932760167490123,0.1914,0.2924
CA,DE,12.24802999529068,0.2134,0.2527
CA,US,15.177853868968363,0.1469,0.209
CH,DE,12.351613509897604,0.1968,0.2497
CH,FR,11.835052441455058,0.2107,0.238
CH,US,13.67015987764571,0.1651,0.2443
CL,US,11.604793363279503,0.1971,0.3025
CN,HK,13.096466940508153,0.189,0.1792
CN,US,13.30687752870518,0.1839,0.2536
CO,AR,11.49409936072018,0.2029,0.2156
CO,US,12.058285839898787,0.1874,0.2886
CR,US,11.285874288825001,0.1812,0.3126
CZ,US,13.287615069502689,0.1929,0.2541
DE,AT,11.508817036925684,0.2623,0.2065
DE,CH,12.257635153676448,0.2403,0.2028
DE,IR,10.402867928617377,0.2985,0.2156
DE,US,15.13747837547777,0.1714,0.2098
DK,US,12.69096488726966,0.1962,0.2703
DO,US,10.802652471248297,0.1943,0.3286
DZ,US,9.947839310106628,0.2129,0.3589
EC,US,10.769179485646914,0.1962,0.3297
EE,US,11.216512051728243,0.2114,0.3148
EG,US,11.341330175536596,0.1888,0.3108
ES,CO,10.536645846657073,0.2724,0.2178
ES,DE,12.795951564585733,0.2056,0.2375
ES,GB,12.270243911737907,0.2196,0.2441
ES,US,14.081770302112107,0.1751,0.2341
FI,US,12.609011231333762,0.1818,0.2726
FR,CH,12.2802056173714,0.2179,0.2022
FR,DE,12.849906149912185,0.2029,0.2361
FR,GB,12.553173907674575,0.2105,0.2362
FR,MA,9.418816886246988,0.3114,0.2089
FR,TN,10.29714994852514,0.2791,0.2177
FR,US,14.479777181222566,0.1654,0.2246
GB,DE,13.05365403714717,0.2064,0.2307
GB,US,15.269605847155384,0.1575,0.207
GE,RU,11.191962337949786,0.2033,0.275
GE,US,11.280324836133422,0.2007,0.3128
GR,US,12.329563803260282,0.1981,0.2806
GT,US,10.080252030663544,0.2027,0.3541
HK,CN,13.826215059804543,0.175,0.1791
HK,US,13.383825696780068,0.1852,0.2516
HR,US,11.48776149130668,0.2162,0.3061
HU,US,12.464795673349853,0.1924,0.2767
ID,US,11.650484983790188,0.1985,0.301
IE,US,13.09056512947509,0.194,0.2594
IL,US,13.137468715179931,0.1636,0.2581
IN,AE,9.745839095947058,0.2985,0.2109
IN,US,14.64901124502125,0.1616,0.2207
IR,DE,10.277152348094495,0.215,0.3156
IR,US,10.464816158475225,0.2089,0.3403
IS,US,9.707533494010876,0.209,0.368
IT,DE,12.22138481363178,0.2058,0.2534
IT,GB,11.747712961667485,0.219,0.2592
IT,US,13.468384166864144,0.1748,0.2494
JM,US,9.600014794178023,0.2186,0.3721
JP,CN,12.794298103037624,0.1936,0.204
JP,HK,12.395336713890703,0.2039,0.1967
JP,US,13.681731134582666,0.1725,0.244
