source,destination,weight,alpha_out,alpha_in
RS,TR,6.5998704992128365,0.4113,0.4005
RS,UA,8.649974302650056,0.3111,0.3475
RS,US,11.658470652101114,0.2059,0.3008
RS,XK,7.352441100243583,0.3713,0.3974
RS,ZA,7.551186867296149,0.3614,0.3481
RU,AE,8.734560089952993,0.3567,0.2483
RU,AM,9.381432446818588,0.3303,0.2393
RU,AR,8.399760094524142,0.3712,0.3268
RU,AT,8.901638932300326,0.3497,0.2962
RU,AU,10.122743557123146,0.3025,0.2699
RU,AZ,6.86484777797086,0.4453,0.3392
RU,BD,5.488937726156687,0.524,0.4208
RU,BE,8.708144074908246,0.3578,0.3132
RU,BG,9.515837804297965,0.3251,0.2518
RU,BR,9.054037377580782,0.3434,0.2892
RU,BY,10.932070718708905,0.2747,0.2083
RU,CA,10.280175885872874,0.2968,0.2817
RU,CH,9.572201842602215,0.3229,0.2884
RU,CL,8.634620608292202,0.361,0.2835
RU,CN,10.291976036437175,0.2964,0.2793
RU,CO,7.170119543449628,0.4295,0.3561
RU,CY,8.643473357326567,0.3606,0.2711
RU,CZ,9.442404020664952,0.3279,0.2924
RU,DE,12.127624499201032,0.2382,0.2561
RU,DK,8.592300663903043,0.3628,0.3204
RU,DZ,4.897839799950911,0.5619,0.4158
RU,EC,4.9344739331306915,0.5595,0.4644
RU,EE,9.375600540841843,0.3306,0.2564
RU,EG,6.804614520062624,0.4485,0.3457
RU,ES,9.730621154512928,0.3169,0.298
RU,FI,10.426883833475971,0.2917,0.2581
RU,FR,10.852574558825365,0.2773,0.2683
RU,GB,11.44165500173922,0.2585,0.2686
RU,GE,9.668524424416576,0.3193,0.2188
RU,GH,6.037870919922137,0.4911,0.3777
RU,GR,8.422003004412488,0.3702,0.3061
RU,HK,10.041813682016414,0.3054,0.2686
RU,HR,7.523481312573497,0.4119,0.318
RU,HU,7.649216319820633,0.4058,0.3458
RU,ID,8.592671652592143,0.3628,0.2851
RU,IE,9.870861049709035,0.3117,0.2533
RU,IL,9.921327470664458,0.3098,0.2808
RU,IN,10.96422488877531,0.2736,0.2642
RU,IR,6.327936783729195,0.4745,0.3966
RU,IS,7.202661196523238,0.4278,0.3366
RU,IT,9.747535250762242,0.3163,0.2825
RU,JP,9.21283725217477,0.337,0.3151
RU,KE,6.6895992691789665,0.4546,0.3493
RU,KG,8.225235324101668,0.379,0.2712
RU,KR,8.551401362745974,0.3646,0.31
RU,KZ,9.53870842969938,0.3242,0.2405
RU,LT,8.17244681834278,0.3813,0.2902
RU,LU,8.288785810426928,0.3761,0.327
RU,LV,9.052516286782616,0.3435,0.2636
RU,MA,5.0106352940962555,0.5545,0.4401
RU,MD,7.965198290612176,0.3908,0.2852
RU,ME,8.09040229659332,0.3851,0.2658
RU,MU,5.942799375126701,0.4966,0.3473
